weight,height,width,hardness,sweet,sour,color,fruit
310.7,76.2,86.3,45.2,12.7,0.35,60.8,peach
265.9,74.5,81.8,29.5,14.2,0.24,61,peach
407.5,82.6,90.1,34.1,14.3,0.29,68.2,peach
314.6,74.5,86.1,22.1,14.9,0.28,62.1,peach
310.7,77.5,85.7,31.1,13,0.4,64.6,peach
330.2,78.4,88.7,44.4,8.6,0.37,60.9,peach
436,84.4,97.5,29.5,11.1,0.29,64.5,peach
356.4,80.7,90.6,39.2,10,0.27,48.5,peach
362.9,81.2,91.9,39.5,7.9,0.36,65.2,peach
285.2,75.3,83.5,42.4,15,0.34,70.5,peach
371.6,83.1,91.2,27.2,13.7,0.39,67.3,peach
279.2,74.6,81.2,23.7,17,0.31,58.3,peach
357.7,83.9,90.6,36.6,14.1,0.39,70.3,peach
360.2,76.8,88.4,44.1,12.5,0.41,63.8,peach
341,75.7,86.7,20.5,14.1,0.32,58.4,peach
334.8,78.8,89,41.5,13,0.31,58.6,peach
402.1,87.1,91.8,4,11.7,0.36,72.3,peach
354.8,79.1,88.5,35.5,12.5,0.26,65,peach
421.3,85.3,95.5,38.8,11.9,0.32,62.5,peach
386.5,76.1,93.5,17.3,12.7,0.36,69.9,peach
256.6,71.8,80.1,24.9,12.7,0.21,57.8,peach
349.4,80.2,89.7,15.4,11.1,0.24,73.4,peach
333.6,79.2,85.9,48.8,12.9,0.28,62.4,peach
383,83.4,93.2,27.6,13.2,0.18,57.7,peach
352.8,78.7,88.8,45.3,12.9,0.25,64.3,peach
345,81.9,90.6,30,14.2,0.24,58.3,peach
328.8,78,88.1,27.8,12.9,0.29,67.3,peach
340.8,81.9,88.6,24.7,11.7,0.29,71.1,peach
300.8,79.9,85.1,47,12.9,0.38,65.9,peach
293.3,77.3,83.8,36.4,12.7,0.37,59.4,peach
360.5,83,90.9,21,11.4,0.33,67.3,peach
315.4,79.4,87,42.4,12.6,0.41,63,peach
352.2,78.5,90.1,20.2,12.3,0.33,58.3,peach
318.6,78.7,87.1,44.5,11.5,0.37,64.7,peach
342.2,81.3,86.7,51.4,12.3,0.31,54.8,peach
376.3,80.2,93.6,41.1,10.7,0.32,60.6,peach
306.1,77.2,86.4,53,12,0.31,55.9,peach
386.3,83.1,92.2,52.4,10.5,0.34,65.4,peach
342.8,81.6,88.7,39.1,12.8,0.26,63.5,peach
411,81.8,97.3,37.5,13.2,0.29,64.1,peach
297.3,74.2,87.8,37.3,13.2,0.25,55.5,peach
204.9,67.6,79.8,24,9,0.31,63.4,peach
708.2,98.2,113.4,31,12,0.1,,pear
782.9,101.8,117.1,40.8,13,0.1,,pear
707,110.8,97.4,28.4,11.6,0.2,,pear
677.2,97.6,111.6,36.8,12,0.1,,pear
656.1,108,96.3,30.1,11.1,0.2,,pear
599.6,104.1,86.7,31.5,10.1,0.2,,pear
588.7,105.7,85.1,29.3,11,0.2,,pear
690.9,111.4,88.7,29.4,12,0.2,,pear
631,93.6,110,34.1,13.2,0.2,,pear
528.6,104.8,92.1,25.2,10.7,0.1,,pear
811.8,117.7,103,37.3,12.8,0.2,,pear
588,91.2,107.6,23.6,13,0.2,,pear
521.6,83.2,100.8,30.2,12.2,0.2,,pear
642.8,90.1,111,23.2,12.6,0.3,,pear
641.9,96.8,108.5,23.9,11.9,0.2,,pear
729.4,95.9,113,24.1,12.2,0.2,,pear
759,116,99.3,33.8,12.2,0.2,,pear
663.8,104.9,111.4,31.2,14.3,0.2,,pear
760.8,116.2,106.3,40.1,14.2,0.2,,pear
695.5,112.3,100.7,42.5,13.5,0.2,,pear
896,113,122.5,40.9,13.8,0.2,,pear
958.5,110.1,121.9,27.9,14.1,0.2,,pear
695.6,0,0,33.9,11.9,0.2,,pear
826.9,119.6,104.1,37.2,13.1,0.1,,pear
804.9,0,0,43.4,12.3,0.1,,pear
650,109.4,98.9,36.7,14.3,0.2,,pear
530.4,104.1,86.7,38.6,13,0.1,,pear
559.2,94.1,103.2,41.4,13.1,0.3,,pear
566.4,107.5,87.2,35.2,13.8,0.2,,pear
650.2,111.6,93.6,40.6,12.1,0.2,,pear
490.3,100.8,86,35.1,14.4,0.2,,pear
517.8,102.5,85.7,49.2,14,0.2,,pear
472.8,85.2,97.9,34.1,11.1,0.3,,pear
616.7,108,91,42.3,12.5,0.3,,pear
547.3,89.1,105.1,23.3,12.9,0.2,,pear
516.8,84.8,101.9,25.4,12.7,0.2,,pear
587.4,90.8,107.6,26.1,12.2,0.3,,pear
603,108.3,89.5,39,12.1,0.3,,pear
451.4,91.7,76.1,32.2,11.5,0.3,,pear
583.4,87.2,108.8,39.3,11.4,0.2,,pear
302.6,102.5,55.1,18.7,9.6,0.3,,pear
601.8,104.2,83.6,26.6,11.4,0.2,,pear
369,92.8,73.4,26.2,9.7,0.2,,pear
428.3,95.8,80.9,28.5,10.3,0.3,,pear
522.2,102.5,83.1,27.1,10.2,0.3,,pear
501,96.6,81.5,29.5,11.9,0.3,,pear
451.3,82.3,99.8,39.2,12.9,0.2,,pear
546.3,88.1,104,42.2,11.9,0.2,,pear
611.9,91.1,108.7,42.2,12.9,0.2,,pear
297.8,90.5,86.7,36.2,14.6,0.19,55.2,apple
270.4,83.1,87.4,38.5,15.3,0.19,65.6,apple
308.6,83.3,90.7,38,15.2,0.19,54.1,apple
280.3,81.3,87.9,33.8,13.6,0.19,51,apple
321.7,83.3,91.5,37.6,13.2,0.21,53,apple
319.7,85.5,91.7,37.3,13.5,0.2,58.5,apple
454.2,99.8,103.6,31.6,14.2,0.2,54.7,apple
179.4,0,0,0,15.2,0,58.8,apple
259.9,76.5,87.1,37.4,12.7,0.18,47.3,apple
272.6,78.1,86,37.7,15.6,0.23,60.7,apple
303.1,85.9,89.2,57.7,13.3,0.21,56.1,apple
335.2,82.1,91.8,31.5,13.6,0.31,57.8,apple
286.3,78.8,89.9,36.2,13.3,0.22,55.6,apple
303.1,82.5,91.9,36.7,14.7,0.27,60.9,apple
404.5,95,98.3,32.1,16.1,0.26,63.2,apple
199.8,73.3,75.3,54.7,15.1,0.21,66.2,apple
247.1,81.5,83.5,35.4,13.8,0.23,54.4,apple
191.4,68.3,75.9,43,15.3,0.28,70.4,apple
248,74.3,85.2,60.1,14,0.23,49.8,apple
286.9,79.2,88.3,62.9,14.8,0.27,49.1,apple
340,88.7,94.3,59.7,13.8,0.25,44.4,apple
263.6,79.4,85.7,62.2,12.2,0.32,51.7,apple
229,73.9,81.6,60.9,11.4,0.29,52.9,apple
243.4,72.5,83.3,40.9,13,0.32,57.9,apple
402.8,85.8,93.4,38.1,14.1,0.29,52.2,apple
134.3,60.1,67.6,46.1,13.8,0.25,57.4,apple
250.8,75.5,83.3,41.2,13.6,0.37,61.6,apple
208.3,70,79.9,58,14.5,0.23,60.1,apple
251,73.2,84.1,59.5,13.4,0.31,54.9,apple
277,80.9,88.6,57.5,13.5,0.3,54.4,apple
289.4,82.4,84.4,56.9,13,0.34,52.2,apple
176.7,66.8,73.7,56.2,11,0.31,57,apple
236.7,77.6,83.4,36.5,15.1,0.23,60.8,apple
247.9,75.3,85.8,39.7,15,0.25,41.4,apple
311.3,82.9,90.5,33.5,12.7,0.25,49.7,apple
296.9,80.2,89.5,39.3,14.5,0.28,57.8,apple
333,89.2,92.8,37.7,14,0.21,45.1,apple
324,88.4,92.1,38,12.6,0.22,55.4,apple
246.5,76,82.9,41.3,15,0.23,47.8,apple
262.3,78.1,85.3,41.1,14.5,0.22,46,apple
329.6,82.4,93.2,30.2,14.6,0.35,49.9,apple
352.9,83.8,95.2,32.1,14.7,0.35,55,apple
261.6,72.3,86.2,36.7,15.6,0.44,58.8,apple
348.6,84,94.5,34.1,15.4,0.36,49.5,apple
376.3,86.8,97.4,33.3,13.8,0.36,56.7,apple
377.9,85.9,97.6,32.3,13.9,0.32,50.7,apple
384.4,88.1,96.9,38.2,14.5,0.35,59.8,apple
258.9,74.1,86.5,34,14.8,0.34,53.3,apple
341.6,79,95.2,31.4,14.6,0.43,49.7,apple
250.2,71.4,86.2,53.2,12.7,0.35,48.4,apple
286.6,82,89.5,55.6,12.8,0.22,53.1,apple
283.6,78.3,87,61.1,13,0.39,50,apple
316.2,81.9,89.5,55.3,14.1,0.41,47,apple
324.8,81.3,92.9,34.5,16,0.46,52.9,apple
305.8,79.1,88.1,36.6,14.8,0.46,53.9,apple
301.5,77.8,89.7,35.6,14,0.39,52.3,apple
420.5,80.6,90.6,35,15.2,0.48,53.7,apple
232.9,71.7,81.3,36.7,15.3,0.44,54.1,apple
298.4,74.1,90.1,39.5,12.9,0.36,59.6,apple
292.7,75,90,53.1,12.5,0.3,47.8,apple
261.1,72.2,85.8,58.2,14.7,0.39,43.1,apple
356.7,82.6,92.7,53.8,12.9,0.33,49.7,apple
258.2,75.8,84.1,62,12.9,0.38,46.6,apple
266.5,73.9,86.1,54.4,12.3,0.37,47.7,apple
352.7,87.8,92.7,58.9,13.3,0.29,53.3,apple
328.2,80.3,92.6,38,16.1,0.5,57,apple
384.2,85.9,96.4,35.5,14.1,0.51,59.1,apple
276.7,73.2,87.4,35.8,12.4,0.48,58.8,apple
251.5,70.5,85.1,60.9,15.2,0.42,41.4,apple
283.1,74.8,89.1,54.4,13.9,0.39,42.5,apple
318,77.9,91.5,55.1,13.9,0.43,42.5,apple
300.3,78.5,89.1,63.3,12.9,0.37,42,apple
221.3,73.2,80,55.8,10.5,0.31,43.6,apple
252.2,71.3,84.3,34.5,13.4,0.4,42.6,apple
284.3,78.2,88,36.2,13.6,0.36,44.8,apple
314.3,77.3,91.1,34.1,12.9,0.35,45.7,apple
273.7,76.7,85.6,41.2,12.6,0.29,44.5,apple
